University_Rating,SOP,LOR,CGPA,Chance_of_Admit
4,4.5,4.5,9.65,1
4,4,4.5,8.87,1
3,3,3.5,8,1
3,3.5,2.5,8.67,1
2,2,3,8.21,1
5,4.5,3,9.34,1
3,3,4,8.2,1
2,3,4,7.9,1
1,2,1.5,8,1
3,3.5,3,8.6,0
3,3.5,4,8.4,1
4,4,4.5,9,1
4,4,4.5,9.1,1
3,4,3,8,1
3,3.5,2,8.2,1
3,3.5,2.5,8.3,1
3,4,3,8.7,1
3,4,3,8,1
3,4,3,8.8,1
3,3.5,3,8.5,1
3,3,2,7.9,1
4,3,2,8.4,1
5,5,5,9.5,1
5,5,4.5,9.7,1
5,4,3.5,9.8,1
5,4.5,4.5,9.6,1
5,4.5,3.5,8.8,1
2,1.5,2.5,7.5,0
1,2,2,7.2,0
2,1.5,2,7.3,1
2,3,3,8.1,1
3,4,4,8.3,1
4,3,4.5,9.4,1
5,4,4,9.6,1
5,4,5,9.8,1
5,5,5,9.2,1
2,4,4,8.4,1
1,1,2,7.8,1
1,3,1.5,7.5,1
2,4,3.5,7.7,0
3,3.5,3,8,0
2,2.5,2.5,8.2,0
2,2.5,2,8.5,1
4,4.5,4,9.1,1
5,4.5,4,9.4,1
5,5,4,9.1,1
5,4,5,9.3,1
5,4.5,4,9.7,1
3,3.5,5,8.85,1
4,3,4,8.4,1
3,2.5,4.5,8.3,1
2,1.5,3.5,7.9,1
4,4,3,8,1
4,4,2.5,8.1,1
3,3,3.5,8,1
3,3,3,7.7,1
3,2,3,7.4,1
2,4,2,7.6,0
1,3,2,6.8,0
2,2,2,8.3,0
2,3,3,8.1,0
3,4,3,8.2,0
2,3,3,8.2,1
2,4,3,8.5,1
3,3,3.5,8.7,1
4,3.5,3.5,8.92,1
3,3,3,9.02,1
2,3.5,3.5,8.64,1
3,3.5,4,9.22,1
4,4.5,4,9.16,1
5,5,5,9.64,1
5,5,5,9.76,1
5,5,5,9.45,1
4,4.5,4,9.04,1
3,3,5,8.9,1
2,2,4,8.56,1
3,3,3,8.72,1
2,3,2,8.22,1
2,3,2,7.54,0
1,1.5,2,7.36,0
3,2,3,8.02,1
4,5,5,9.5,1
5,5,4.5,9.22,1
5,4,4.5,9.36,1
5,4.5,4.5,9.45,1
4,4.5,3.5,8.66,1
3,4.5,3.5,8.42,1
2,3.5,3,8.28,1
3,4.5,3.5,8.14,1
4,4.5,3.5,8.76,1
2,4,4,7.92,1
3,5,3.5,7.66,0
2,4,3,8.03,0
2,3,3,7.88,0
3,2,2.5,7.66,0
4,1.5,2.5,7.84,0
2,3,3,8,0
3,4,4,8.96,1
4,5,4.5,9.24,1
3,4,4,8.88,1
3,3.5,3.5,8.46,1
2,2.5,3,8.12,1
2,4,3.5,8.25,1
2,4.5,4,8.47,1
3,3.5,3,9.05,1
3,4,4.5,8.78,1
4,4.5,4.5,9.18,1
4,3.5,4.5,9.46,1
5,5,5,9.38,1
5,5,4,8.64,1
5,3,3,8.48,1
4,4,4,8.68,1
3,3.5,3.5,8.34,1
2,4,3.5,8.56,1
3,3.5,3,8.45,1
4,4.5,4.5,9.04,1
3,4,3.5,8.62,1
4,2,2.5,7.46,0
2,3,3.5,7.28,0
5,3,3.5,8.84,1
5,5,5,9.56,1
5,4.5,4.5,9.48,1
4,1.5,2.5,8.36,1
3,3.5,3.5,8.22,1
4,2.5,3,8.47,1
3,2,3,8.66,1
3,4,3,9.32,1
3,2.5,2,8.71,1
3,3.5,3,9.1,1
5,5,5,9.35,1
5,4,4.5,9.76,1
5,5,4.5,8.65,1
5,3.5,3.5,8.56,1
5,4,4.5,8.78,1
5,4,4,9.28,1
4,3.5,4,8.77,1
3,5,4,8.45,1
2,1.5,3,8.16,1
2,4.5,3,9.08,1
1,3.5,3.5,9.12,1
2,4,3,9.15,1
2,4.5,3.5,9.36,1
5,4,3.5,9.44,1
4,4.5,4,9.92,1
2,3,3.5,8.96,1
2,2,2.5,8.64,1
3,2,2.5,8.48,1
3,3,3,9.11,1
4,4,3.5,9.8,1
2,3.5,3,8.26,1
4,4,4,9.43,1
5,5,5,9.28,1
5,5,5,9.06,1
3,3,4,8.75,1
3,3,3.5,8.89,1
3,3,3,8.69,1
3,2,2.5,8.34,1
2,2,2.5,8.26,1
2,2,2.5,8.14,1
1,1.5,2,7.9,1
1,1.5,2,7.86,1
1,1.5,3,7.46,1
3,3,3,8.5,1
3,3.5,3,8.56,1
4,4.5,4,9.01,1
5,4.5,4,8.97,1
3,3.5,5,8.33,1
3,2,3,8.27,1
2,2,4,7.8,1
2,2.5,3,7.98,1
2,2.5,3.5,8.04,1
5,4,4.5,9.07,1
4,4,5,9.13,1
4,4,4.5,9.23,1
4,4,4,8.97,1
4,4.5,3.5,8.87,1
4,4.5,4.5,9.16,1
3,3.5,3.5,9.04,1
3,2.5,3,8.12,1
3,3,3,8.27,1
3,3.5,3,8.16,1
2,2.5,2.5,8.42,1
2,3,3.5,7.88,1
3,4,4,8.8,1
2,2.5,4,8.32,1
4,4.5,4.5,9.11,1
3,3.5,3,8.68,1
5,4.5,3.5,9.44,1
5,4.5,3.5,9.36,1
5,5,5,9.08,1
5,4.5,4,9.16,1
5,4,5,8.98,1
5,4.5,4,8.94,1
5,4.5,5,9.53,1
3,3.5,3,8.76,1
2,3,3.5,8.52,1
2,3,2.5,8.26,1
2,3.5,2.5,8.33,1
3,4.5,4.5,8.43,1
3,4,4.5,8.69,1
3,2.5,3,8.54,1
2,3.5,3,8.46,1
5,4.5,4.5,9.91,1
5,4,5,9.87,1
3,3.5,4,8.54,1
2,2.5,3,7.65,1
2,3.5,3,7.89,1
3,3.5,4,8.02,1
2,3,3,8.16,1
3,3.5,4,8.12,1
4,4.5,4,9.06,1
4,5,4,9.14,1
4,5,5,9.66,1
5,5,4.5,9.78,1
4,4.5,5,9.42,1
5,5,4.5,9.36,1
4,4.5,4.5,9.26,1
4,4,4,9.13,1
4,3,3.5,8.97,1
3,3.5,3.5,8.42,1
3,4,4,8.75,1
3,3.5,4,8.56,1
4,4.5,4,8.79,1
2,3,4,8.45,1
2,3,2,8.23,1
2,2.5,2.5,8.03,1
2,3.5,4,8.45,1
2,3.5,3,8.53,1
3,4,3.5,8.67,1
4,3,3,9.01,1
3,4,4.5,8.65,1
3,3.5,2.5,8.33,1
2,2.5,3.5,8.27,1
2,2.5,3.5,8.07,1
5,5,4,9.31,1
5,4.5,4,9.23,1
4,4,4.5,9.17,1
5,4.5,5,9.19,1
3,2,3.5,8.37,1
1,1.5,2,7.89,1
1,2.5,3,7.68,1
2,2.5,2,8.15,1
3,3.5,3,8.76,1
3,3.5,3,9.04,1
2,2.5,4,8.56,1
4,4,2.5,9.02,1
3,3,3.5,8.73,1
2,2.5,3.5,8.48,1
3,3.5,4,8.87,1
3,3.5,4,8.83,1
3,3,2.5,8.57,1
2,2.5,3,9,1
2,2.5,3.5,8.54,1
4,4.5,4.5,9.68,1
4,4,5,9.12,1
4,4,4.5,8.37,1
3,4,4,8.56,1
3,4,5,8.64,1
4,5,5,8.76,1
4,5,4.5,9.34,1
5,5,3.5,9.13,1
3,3.5,4,8.09,1
2,2.5,4,8.36,1
3,2.5,1.5,8.79,1
2,3,2.5,8.76,1
3,2.5,2.5,8.68,1
2,2,2.5,8.45,1
3,3,3.5,8.17,1
4,4.5,5,9.14,1
4,4.5,5,8.34,1
2,2.5,3,8.22,1
2,1.5,2,7.86,1
1,1.5,1.5,7.64,0
1,1,1.5,8.01,1
1,2,2.5,7.95,1
3,3.5,3,8.96,1
5,5,4.5,9.45,1
2,2.5,3,8.62,1
2,3,3.5,8.49,1
2,3,4,8.73,1
3,4.5,4,8.64,1
3,4,4.5,9.11,1
3,4,3.5,8.79,1
3,2.5,3,8.9,1
4,5,4.5,9.66,1
5,4,4,9.26,1
5,4.5,4,9.19,1
5,5,4.5,9.08,1
4,5,5,9.02,1
3,4,3.5,9,1
2,2.5,3,7.65,1
2,1.5,2,7.87,1
2,1,2,7.97,1
1,3.5,3,8.18,1
2,2.5,2,8.32,1
2,3,2.5,8.57,1
3,3.5,3.5,8.67,1
3,4,4.5,9.11,1
3,4.5,4.5,9.24,1
3,3,3.5,8.65,1
2,2.5,2.5,8,1
2,2.5,3,8.76,1
2,3,3,8.45,1
3,3.5,3.5,8.55,1
2,2.5,2,8.43,1
3,3.5,3.5,8.8,1
3,4,3.5,9.1,1
4,4,4,9,1
3,3.5,3,8.53,1
4,3.5,3,8.6,1
3,3,3.5,8.74,1
4,4.5,4,9.18,1
4,4.5,4.5,9,1
3,3.5,3,8.04,1
2,3,4,8.13,1
2,2.5,3,8.07,1
2,1.5,2,7.86,1
1,1,2.5,8.01,1
3,2.5,2,8.8,1
4,3.5,3,8.69,1
3,4,3.5,8.5,1
3,4,4,8.44,1
2,2.5,4,8.27,1
2,2,2.5,8.18,1
3,3,2.5,8.33,1
3,3.5,4,9.14,1
3,2,2,8.02,1
2,2.5,2,7.86,1
4,4,3.5,8.77,1
2,2.5,1.5,7.89,0
3,3.5,3,8.66,1
2,3,2,8.12,1
3,3.5,2.5,8.21,1
3,3,3.5,8.54,1
4,4.5,4,8.65,1
4,4,4.5,9.11,1
3,3,2.5,8.79,1
5,5,5,9.47,1
5,4,4,8.74,1
5,3.5,4,8.66,1
3,3,3,8.46,1
3,3.5,3.5,8.76,1
3,3,3,8.24,1
2,2.5,3.5,8.13,1
2,1.5,2,7.34,0
1,1.5,2,7.43,0
2,1.5,2,7.64,0
1,1,1,7.34,0
1,2,2,7.25,1
3,2.5,3,8.04,1
3,3,3.5,8.27,1
4,3.5,4,8.67,1
2,3,3.5,8.06,1
3,3.5,2.5,8.17,1
2,2.5,3,7.67,1
2,2,3.5,8.12,1
3,3.5,4,8.77,1
2,3.5,3.5,7.89,1
2,2.5,2,7.64,1
2,2,1.5,8.44,1
3,4,5,8.64,1
4,4,3.5,9.54,1
5,4.5,5,9.23,1
2,2.5,3,8.36,1
3,3.5,4,8.9,1
4,4.5,3,9.17,1
3,3.5,4.5,8.34,1
1,1,2.5,7.46,1
1,2,2,7.88,1
1,2,3,8.03,1
2,2.5,2.5,8.24,1
3,3.5,3,9.22,1
4,4.5,4,9.62,1
3,3,3,8.54,1
2,2,2.5,7.65,0
2,2,2.5,7.66,0
2,2.5,2,7.43,0
1,1.5,2,7.56,0
1,2,2.5,7.65,1
1,2.5,3,8.43,1
3,3.5,4,8.84,1
3,3,3.5,8.67,1
4,4.5,4,9.15,1
3,3,3.5,8.26,1
4,5,5,9.74,1
5,5,5,9.82,1
2,2.5,3.5,7.96,0
2,2,3.5,8.1,1
2,1.5,2,7.8,0
3,3.5,4,8.44,1
2,2,2.5,8.24,1
3,2,3,8.65,1
4,4,3.5,9.12,1
2,3,3,8.76,1
4,4.5,4,9.23,1
3,3.5,3.5,9.04,1
3,3,3.5,9.11,1
4,5,4.5,9.45,1
3,3.5,4,8.78,1
4,5,4,9.66,1
